Азербайджан; Баку
Армения; Ереван
Афганистан; Кабул
Бангладеш; Дакка
Бахрейн; Манама
Бруней; Бандар-Сери-Бегаван
Бутан; Тхимпху
Восточный Тимор; Дили
Вьетнам; Ханой
Грузия; Тбилиси
Израиль; Иерусалим
Индия; Дели (Нью-Дели)
Индонезия; Джакарта
Иордания; Амман
Ирак; Багдад
Иран; Тегеран
Йемен; Сана
Казахстан; Астана
Камбоджа; Пномпень
Катар; Доха
Кипр; Никосия
Киргизия; Бишкек
КНДР; Пхеньян
КНР; Пекин
Кувейт; Эль-Кувейт
Лаос; Вьентьян
Ливан; Бейрут
Малайзия; Куала-Лумпур
Мальдивы; Мале
Монголия; Улан-Батор
Мьянма; Нейпьидо
Непал; Катманду
ОАЭ; Абу-Даби
Оман; Маскат
Пакистан; Исламабад
Республика Корея; Сеул
Саудовская Аравия; Эр-Рияд
Сингапур; Сингапур
Сирия; Дамаск
Таджикистан; Душанбе
Таиланд; Бангкок
Туркмения; Ашхабад
Турция; Анкара
Узбекистан; Ташкент
Филиппины; Манила
Шри-Ланка; Шри-Джаяварденепура-Котте
Япония; Токио
