Антигуа и Барбуда; Сент-Джонс
Аргентина; Буэнос-Айрес
Багамы; Нассау
Барбадос; Бриджтаун
Белиз; Бельмопан
Боливия; Сукре
Бразилия; Бразилиа
Венесуэла; Каракас
Гаити; Порт-о-Пренс
Гайана; Джорджтаун
Гватемала; Гватемала
Гвиана; Кайенна
Гондурас; Тегусигальпа
Гренада; Сент-Джорджес
Доминика; Розо
Доминиканская Республика; Санто-Доминго
Канада; Оттава
Колумбия; Богота
Коста-Рика; Сан-Хосе
Куба; Гавана
Мексика; Мехико
Никарагуа; Манагуа
Панама; Панама
Парагвай; Асунсьон
Перу; Лима
Сальвадор; Сан-Сальвадор
Сент-Винсент и Гренадины; Кингстаун
Сент-Китс и Невис; Бастер
Сент-Люсия; Кастри
Суринам; Парамарибо
США; Вашингтон
Тринидад и Тобаго; Порт-оф-Спейн
Уругвай; Монтевидео
Чили; Сантьяго
Эквадор; Кито
Ямайка; Кингстон
