Австрия; Вена
Албания; Тирана
Андорра; Андорра-ла-Велья
Белоруссия; Минск
Бельгия; Брюссель
Болгария; София
Босния и Герцеговина; Сараево
Ватикан; Ватикан
Великобритания; Лондон
Венгрия; Будапешт
Германия; Берлин
Греция; Афины
Дания; Копенгаген
Исландия; Рейкьявик
Испания; Мадрид
Италия; Рим
Латвия; Рига
Литва; Вильнюс
Лихтенштейн; Вадуц
Люксембург; Люксембург
Македония; Скопье
Мальта; Валлетта
Молдавия; Кишинёв
Монако; Монако
Нидерланды; Амстердам
Норвегия; Осло
Польша; Варшава
Португалия; Лиссабон
Россия; Москва
Румыния; Бухарест
Сан-Марино; Сан-Марино
Сербия; Белград
Словакия; Братислава
Словения; Любляна
Украина; Киев
Финляндия; Хельсинки
Ирландия; Дублин
Франция; Париж
Хорватия; Загреб
Черногория; Подгорица
Чехия; Прага
Швейцария; Берн
Швеция; Стокгольм
Эстония; Таллин
